side,valid,response,response_time
right,True,left,3.399999695830047e-05
right,True,right,3.789999755099416e-05
left,True,left,3.470000228844583e-05
left,True,right,3.429999924264848e-05
right,True,left,7.139999070204794e-05
left,True,left,3.739999374374747e-05
left,True,right,9.719999798107892e-05
left,False,right,3.860000288113952e-05
right,False,right,3.609999839682132e-05
right,True,right,4.3499996536411345e-05
right,True,left,8.460000390186906e-05
right,True,right,4.2799991206265986e-05
right,True,right,3.619999915827066e-05
left,True,left,3.480000304989517e-05
right,True,left,4.060000355821103e-05
left,True,right,6.520000169984996e-05
right,False,right,3.2800002372823656e-05
left,True,right,3.679998917505145e-05
left,False,right,5.709999823011458e-05
left,True,left,6.61999947624281e-05
